artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0.000,0.903,0.000,0.000,0.148,0.286,0.212,0.140,0.404,0.155,0.069,0.086,0.213,0.507,0.473,0.795,0.000,0.000,0.096,0.032
0.000,1.000,0.364,0.600,0.010,0.190,0.048,0.024,0.578,0.015,0.103,0.105,0.426,0.767,0.989,0.864,0.278,0.000,0.085,0.065
0.143,1.000,0.091,0.300,0.013,0.170,0.096,0.015,0.389,0.006,0.052,0.065,0.560,0.452,0.860,0.636,0.237,0.000,0.074,0.065
0.143,0.946,0.818,0.267,0.455,0.531,0.758,0.554,0.425,0.866,0.069,0.072,0.177,0.726,0.935,0.466,0.557,0.000,0.043,0.048
0.143,0.989,0.636,0.833,0.236,0.544,0.300,0.433,0.669,0.551,0.776,0.763,0.447,0.452,0.366,1.000,0.041,0.000,0.340,0.032
0.286,0.935,0.545,0.667,0.253,0.435,0.283,0.115,0.211,0.254,0.017,0.326,0.099,0.452,0.581,0.534,0.381,0.000,0.085,0.129
0.286,1.000,0.455,0.733,0.021,0.544,0.018,0.122,0.527,0.067,0.276,0.001,0.560,0.740,0.763,0.557,0.536,0.000,0.213,0.371
0.000,0.968,0.909,0.867,0.063,0.129,0.154,0.097,0.175,0.142,0.017,0.107,0.404,0.603,0.484,0.625,0.103,0.000,0.074,0.016
0.000,0.989,0.364,0.400,0.159,0.517,0.293,0.359,0.462,0.470,0.638,0.348,0.532,0.658,0.839,0.818,0.113,0.000,0.032,0.048
0.000,0.925,0.909,0.767,0.046,0.401,0.445,0.101,0.076,0.025,0.000,0.272,0.489,0.493,0.505,0.489,0.093,0.000,0.128,0.081
0.143,0.925,0.727,0.667,0.558,0.537,0.693,0.418,0.498,0.003,0.017,0.147,0.858,0.616,0.484,0.568,0.165,0.000,0.106,0.419
0.143,1.000,0.091,0.767,0.064,0.320,0.140,0.129,0.313,0.076,0.017,0.017,0.014,0.411,0.495,0.500,0.237,0.000,0.436,0.081
0.286,1.000,0.455,0.033,0.024,0.259,0.029,0.065,0.233,0.059,0.172,0.115,0.291,0.671,0.140,0.625,0.072,0.000,0.074,0.048
0.286,1.000,0.273,0.167,0.080,0.449,0.048,0.216,0.404,0.219,0.190,0.850,0.447,0.507,0.204,0.932,0.000,0.000,0.096,0.016
0.000,1.000,0.091,0.767,0.021,0.265,0.041,0.021,0.258,0.024,0.172,0.185,0.298,0.945,0.548,0.693,0.186,0.000,0.128,0.081
0.000,1.000,0.455,0.467,0.042,0.401,0.016,0.000,0.000,0.112,0.293,0.000,0.461,0.603,0.989,0.898,0.124,0.209,0.053,0.032
0.000,0.882,0.818,0.467,0.347,0.565,0.490,0.372,0.444,0.003,0.328,0.000,0.411,0.301,0.097,0.511,0.722,0.000,0.064,0.032
0.000,0.957,0.909,0.933,0.830,0.469,1.000,1.000,0.724,0.004,0.345,0.000,0.752,0.370,0.366,0.807,0.000,0.000,0.064,0.081
